==============================================================================
GHRN | yelpchi | unified | TR40 | seed 2
==============================================================================
Run ID: ghrn_yelpchi_unified_tr40_seed2_a6000_20260913T223929Z
Device: cuda:0
Protocol: vast-v4.4  selection=auprc
Deletion ratio: 0.03 (post_aggregation)
/venv/main/lib/python3.12/site-packages/scipy/sparse/_index.py:145: SparseEfficiencyWarning: Changing the sparsity structure of a csr_matrix is expensive. lil_matrix is more efficient.
  self._set_arrayXarray(i, j, x)
Loaded yelpchi: 45,954 nodes, 32 features, 3 relation(s)
[compatibility] NOTE yelpchi is multi-relational; GHRN is a homogeneous spectral method and receives the frozen union view. Record this pair as PASS_WITH_SHARED_ADAPTER (A1).
Split: train 18,381 | valid 9,191 | test 18,382
Graph: 45,954 nodes, 7,739,912 stored directed edges (backend: dgl)
Training fraud/normal: 2,671/15,710 | fraud weight 5.8817
Parameters: 18,754 trainable
[protocol] WARNING unset identity fields: model_source_commit
------------------------------------------------------------------------------
STAGE 1: training on the unrefined graph (del_ratio = 0)
[stage2_refined] epoch  13/100 | loss 0.620006 | train 0.018s | val AUPRC 0.293421 | val AUROC 0.715363 | thr 0.67 | best epoch 13
[stage2_refined] epoch  14/100 | loss 0.615512 | train 0.018s | val AUPRC 0.300335 | val AUROC 0.720506 | thr 0.70 | best epoch 14
[stage2_refined] epoch  15/100 | loss 0.612230 | train 0.018s | val AUPRC 0.309485 | val AUROC 0.726801 | thr 0.67 | best epoch 15
[stage2_refined] epoch  16/100 | loss 0.607061 | train 0.018s | val AUPRC 0.320518 | val AUROC 0.733446 | thr 0.65 | best epoch 16
[stage2_refined] epoch  17/100 | loss 0.603671 | train 0.018s | val AUPRC 0.331584 | val AUROC 0.739028 | thr 0.64 | best epoch 17
[stage2_refined] epoch  18/100 | loss 0.598904 | train 0.018s | val AUPRC 0.342094 | val AUROC 0.743594 | thr 0.70 | best epoch 18
[stage2_refined] epoch  19/100 | loss 0.593250 | train 0.018s | val AUPRC 0.350749 | val AUROC 0.747607 | thr 0.70 | best epoch 19
[stage2_refined] epoch  20/100 | loss 0.590720 | train 0.018s | val AUPRC 0.358165 | val AUROC 0.751107 | thr 0.67 | best epoch 20
[stage2_refined] epoch  21/100 | loss 0.586127 | train 0.018s | val AUPRC 0.363808 | val AUROC 0.753662 | thr 0.65 | best epoch 21
[stage2_refined] epoch  22/100 | loss 0.584706 | train 0.018s | val AUPRC 0.367942 | val AUROC 0.755568 | thr 0.65 | best epoch 22
[stage2_refined] epoch  23/100 | loss 0.582124 | train 0.018s | val AUPRC 0.371675 | val AUROC 0.757299 | thr 0.69 | best epoch 23
[stage2_refined] epoch  24/100 | loss 0.580308 | train 0.018s | val AUPRC 0.375352 | val AUROC 0.759494 | thr 0.67 | best epoch 24
[stage2_refined] epoch  25/100 | loss 0.577996 | train 0.018s | val AUPRC 0.378749 | val AUROC 0.761760 | thr 0.65 | best epoch 25
[stage2_refined] epoch  26/100 | loss 0.575382 | train 0.018s | val AUPRC 0.381695 | val AUROC 0.763790 | thr 0.66 | best epoch 26
[stage2_refined] epoch  27/100 | loss 0.572976 | train 0.018s | val AUPRC 0.384365 | val AUROC 0.765500 | thr 0.72 | best epoch 27
[stage2_refined] epoch  28/100 | loss 0.570906 | train 0.018s | val AUPRC 0.387084 | val AUROC 0.767600 | thr 0.69 | best epoch 28
[stage2_refined] epoch  29/100 | loss 0.567941 | train 0.018s | val AUPRC 0.390533 | val AUROC 0.769741 | thr 0.66 | best epoch 29
[stage2_refined] epoch  30/100 | loss 0.566580 | train 0.018s | val AUPRC 0.394413 | val AUROC 0.771654 | thr 0.68 | best epoch 30
[stage2_refined] epoch  31/100 | loss 0.563250 | train 0.018s | val AUPRC 0.399067 | val AUROC 0.773773 | thr 0.70 | best epoch 31
[stage2_refined] epoch  32/100 | loss 0.560375 | train 0.018s | val AUPRC 0.404643 | val AUROC 0.775803 | thr 0.65 | best epoch 32
[stage2_refined] epoch  33/100 | loss 0.559034 | train 0.018s | val AUPRC 0.408208 | val AUROC 0.777534 | thr 0.70 | best epoch 33
[stage2_refined] epoch  34/100 | loss 0.557935 | train 0.018s | val AUPRC 0.412258 | val AUROC 0.779484 | thr 0.64 | best epoch 34
